category,orders,gmv,avg_review,freight_to_price,late_rate
la_cuisine,13,2054.99,4.0,0.162,0.0
fashion_childrens_clothes,8,569.85,4.5,0.168,0.0
security_and_services,2,283.29,2.5,0.146,0.0
pc_gamer,7,1306.95,3.63,0.094,0.0
cds_dvds_musicals,12,730.0,4.64,0.308,0.0
diapers_and_hygiene,26,1538.79,3.32,0.366,0.027
flowers,29,1110.04,4.42,0.44,0.03
books_imported,53,4639.85,4.4,0.166,0.035
air_conditioning,251,54723.16,3.99,0.123,0.038
market_place,279,28288.47,4.03,0.191,0.043
fixed_telephony,214,57824.21,3.71,0.079,0.043
kitchen_dining_laundry_garden_furniture,246,46070.37,3.98,0.257,0.044
agro_industry_and_commerce,182,72530.47,4.0,0.081,0.044
party_supplies,39,4485.18,3.77,0.185,0.048
luggage_accessories,1030,140111.38,4.33,0.217,0.054
construction_tools_safety,165,39589.02,3.88,0.097,0.055
drinks,296,22378.71,4.04,0.256,0.055
signaling_and_security,140,21509.23,4.09,0.303,0.056
fashion_male_clothing,111,10748.82,3.66,0.2,0.056
costruction_tools_tools,97,15903.95,4.44,0.128,0.058
fashion_shoes,238,23352.88,4.25,0.21,0.058
small_appliances,622,187907.26,4.18,0.084,0.059
pet_shop,1706,213766.63,4.19,0.184,0.061
fashion_bags_accessories,1858,151622.75,4.15,0.207,0.062
food_drink,225,15119.48,4.32,0.297,0.063
books_general_interest,505,45622.29,4.48,0.198,0.065
computers,181,222963.13,4.18,0.044,0.065
housewares,5847,626825.8,4.07,0.232,0.065
dvds_blu_ray,57,4559.49,4.18,0.273,0.066
fashio_female_clothing,39,2803.64,3.75,0.222,0.067
small_appliances_home_oven_and_coffee,75,47445.71,4.3,0.058,0.068
home_appliances,762,80001.24,4.17,0.185,0.068
cool_stuff,3616,620770.49,4.16,0.134,0.068
fashion_sport,27,2119.51,4.23,0.273,0.069
home_appliances_2,231,110649.74,4.15,0.094,0.069
portateis_cozinha_e_preparadores_de_alimentos,13,3933.63,3.43,0.075,0.071
cine_photo,65,6933.46,4.19,0.181,0.071
tablets_printing_image,79,7528.41,4.12,0.163,0.072
perfumery,3146,396599.31,4.18,0.136,0.073
costruction_tools_garden,192,25552.18,4.09,0.205,0.073
toys,3855,479808.54,4.18,0.16,0.074
sports_leisure,7673,979740.92,4.12,0.171,0.074
art,201,24167.64,3.95,0.167,0.076
industry_commerce_and_business,235,39669.61,4.1,0.199,0.076
consoles_games,1054,154927.27,4.05,0.127,0.078
computers_accessories,6654,904322.02,3.95,0.162,0.078
furniture_bedroom,95,20028.78,4.12,0.231,0.078
music,38,6034.35,4.21,0.114,0.079
furniture_living_room,420,68638.56,3.91,0.261,0.079
stationery,2299,229593.84,4.21,0.203,0.08
garden_tools,3505,481009.94,4.06,0.205,0.08
construction_tools_construction,746,144550.19,4.06,0.143,0.081
home_construction,489,83010.12,3.94,0.167,0.082
auto,3872,586585.73,4.08,0.157,0.083
arts_and_craftmanship,23,1814.01,4.13,0.204,0.083
watches_gifts,5604,1198185.21,4.03,0.084,0.083
telephony,4183,322342.64,3.95,0.22,0.083
bed_bath_table,9399,1035964.06,3.9,0.197,0.084
furniture_decor,6425,727465.05,3.92,0.237,0.084
musical_instruments,620,187788.44,4.19,0.097,0.086
baby,2868,410312.2,4.03,0.166,0.088
office_furniture,1272,273580.7,3.49,0.25,0.089
health_beauty,8800,1255695.13,4.15,0.145,0.091
unknown,1437,178572.55,3.86,0.157,0.094
electronics,2543,157079.54,4.05,0.295,0.097
food,449,29243.51,4.22,0.248,0.098
construction_tools_lights,243,40002.0,4.07,0.188,0.1
home_confort,397,58572.04,3.83,0.145,0.103
books_technical,260,19096.06,4.36,0.224,0.11
christmas_supplies,127,8787.83,4.04,0.367,0.12
fashion_underwear_beach,121,9541.55,3.98,0.201,0.126
audio,349,50668.6,3.84,0.113,0.127
furniture_mattress_and_upholstery,38,4368.08,3.82,0.373,0.135
home_comfort_2,24,760.27,3.63,0.54,0.167
