seller_id,seller_state,orders,gmv,avg_review,late_rate,gmv_share,gmv_cumulative_share
712e6ed8aa4aa1fa65dab41fed5737e4,SC,79,39815.0,3.45,0.212,0.003,0.3578
ce248b21cb2adc36282ede306b7660e5,SC,64,13560.19,4.25,0.108,0.001,0.5832
48436dade18ac8b2bce089ec2a041202,SP,138,12271.71,4.05,0.068,0.0009,0.6187
aafe36600ce604f205b86b5084d3d767,SC,129,9251.4,4.38,0.046,0.0007,0.6833
ad781527c93d00d89a11eecd9dcad7c1,SP,43,6759.58,3.12,0.316,0.0005,0.7585
80ceebb4ee9b31afb6c6a916a574a1e2,PR,1,6729.0,,1.0,0.0005,0.761
8c16d1f32a54d92897cc437244442e1b,SC,108,5642.6,4.33,0.017,0.0004,0.7914
e06f09ec0a4aca210779cf1cfc63cf19,SP,29,5279.49,4.03,0.065,0.0004,0.7998
37dd29b36c458d82f74a953c40c43645,SP,7,4536.99,4.0,0.125,0.0003,0.8244
180c3376aff0e43dd5788709df48a843,SP,5,4513.0,4.7,0.1,0.0003,0.8254
cac4c8e7b1ca6252d8f20b2fc1a2e4af,SP,75,4168.18,3.51,0.232,0.0003,0.837
02f5837340d7eb4f653d676c7256523a,PR,30,3883.05,4.83,0.033,0.0003,0.8501
1eade46fba20122dc4aefb379f8c636b,SP,58,3635.37,4.31,0.133,0.0003,0.8628
8c3b533c63cca56240f94f1e3a6b18ef,MG,5,3312.16,1.33,0.8,0.0002,0.8711
820cc752a266cdc6c1a1e61dd4583330,PR,15,2802.8,4.13,0.133,0.0002,0.889
cd843d4cf8ef32827de0396605163ba3,MG,5,1915.0,3.8,0.0,0.0001,0.9198
5075aaa8404020ae6aa8bf4792099b41,MG,12,1772.81,3.94,0.0,0.0001,0.9258
3ca08eeb8d5595949fed424bd3677742,PR,14,1768.87,4.43,0.0,0.0001,0.9262
659e8466eb3ff1b0e8740d74fb7bbedd,BA,11,1486.8,4.5,0.0,0.0001,0.9371
e256a62e0ac58c0edfba09966142d561,PR,12,1474.11,4.5,0.0,0.0001,0.938
093805f8f2aeb63881444571e1f48f30,SP,22,1215.79,3.81,0.037,0.0001,0.9503
5f26c1408a65b42a7224cd463bdf3292,PR,10,1139.8,4.8,0.0,0.0001,0.9539
39f776d2974049026ff531fc42ef2a3e,GO,3,1084.04,4.0,0.0,0.0001,0.9563
5996cddab893a4652a15592fb58ab8db,SP,1,810.0,5.0,0.0,0.0001,0.9683
0aa124728afc1131dff5655f4c6f487b,MG,1,799.0,1.0,,0.0001,0.969
5a05a16bb50629ee31afab8a6d4c2674,RS,14,794.3,4.0,0.067,0.0001,0.9693
0ff83046c3fa22efee8ecf291888b191,RS,10,768.9,4.82,0.0,0.0001,0.9711
38e6dada03429a47197d5d584d793b41,SP,7,596.14,3.33,0.417,0.0,0.9789
6c17baf138731a4aaacc3210adf2037b,SP,4,538.8,5.0,0.0,0.0,0.981
265fdc289dffa9f1ad801c74f7d0de47,SP,1,495.0,5.0,0.0,0.0,0.9829
bac692d6c0ed08467878018e6cc9c26c,SC,1,477.0,4.0,0.0,0.0,0.9836
aec99834ab5d38ead22766ada8497e87,PR,1,459.0,5.0,0.0,0.0,0.9842
e546117ed9cafbc40239c0c78635c584,SP,2,456.0,4.5,0.0,0.0,0.9844
a53f60f05f822b5c621a50ff6a5cb362,MG,4,415.4,2.6,0.0,0.0,0.9859
62d977e2b2aee830de3e039a28490d12,PR,2,399.8,1.0,,0.0,0.9867
12a8eb0f8d1cd3270695bf2a99f55966,SP,2,397.0,3.5,0.5,0.0,0.9869
c1849d4d32d7a6cecd5aa471809d3135,SP,3,388.98,4.33,0.0,0.0,0.9873
3afc536624bc2e65bddfb5db33cc01f3,MG,6,312.0,3.5,0.167,0.0,0.9904
aded58c8142dedc5494a81f948431fab,RJ,4,289.5,3.2,0.0,0.0,0.9916
6bb66d9870c2e01c05655c7ed0e7ee13,SP,3,269.0,3.67,0.0,0.0,0.9922
8ccf3cf69651cc1d8a02c8bfaf3b8568,SP,2,250.0,3.5,0.5,0.0,0.993
75745ef7bc7d4f3ea3380f6f5303f514,DF,3,228.4,5.0,0.0,0.0,0.9938
6548c2550b6e2d8f18053216e1c7b6f3,SP,3,217.7,5.0,0.0,0.0,0.9941
4ea2f12dbe91deeacd2c1e74f069a6e6,SP,4,210.2,4.83,0.0,0.0,0.9942
b57e8460909fa137df7951b4a3b5ea84,RS,1,198.0,2.0,,0.0,0.9949
dd9661d3cda1e6feb237f0c4d8b26f2e,SC,1,174.0,5.0,0.0,0.0,0.9959
3442033154be05bac582e173ef54fd12,SP,1,161.0,5.0,0.0,0.0,0.9963
fc0b214b59a83615fea981c6424a02ae,SP,1,159.9,5.0,0.0,0.0,0.9964
bdf0d02d36a1d839d0c39c4a887cdd49,SP,5,120.0,5.0,0.0,0.0,0.9978
